2015-01-02,AMZN,312.5,308.52,314.75,306.96,2788101.0
2015-01-02,FB,78.58,78.45,78.93,77.7,18177475.0
2015-01-02,^IXIC,4760.24,4726.81,4777.01,4698.11,0.0
2015-01-02,GOOGL,532.6,529.55,535.8,527.88,1327870.0
2015-01-02,MSFT,46.66,46.76,47.42,46.54,27913852.0
2015-01-02,AAPL,111.39,109.33,111.44,107.35,53204626.0
2015-01-05,MSFT,46.39,46.33,46.73,46.25,39673865.0
2015-01-05,^IXIC,4700.34,4652.57,4702.77,4641.46,0.0
2015-01-05,FB,77.98,77.19,79.25,76.86,26452191.0
2015-01-05,AMZN,307.02,302.19,308.38,300.85,2774231.0
2015-01-05,GOOGL,527.26,519.46,527.99,517.75,2059119.0
2015-01-05,AAPL,108.29,106.25,108.65,105.41,64285491.0
2015-01-06,AAPL,106.54,106.26,107.43,104.63,65797116.0
2015-01-06,FB,77.23,76.15,77.59,75.36,27399288.0
2015-01-06,^IXIC,4666.85,4592.74,4667.33,4567.59,0.0
2015-01-06,AMZN,302.2,295.29,303.0,292.38,3519034.0
2015-01-06,MSFT,46.38,45.65,46.75,45.54,36447854.0
2015-01-06,GOOGL,520.49,506.64,521.21,505.55,2731813.0
2015-01-07,FB,76.76,76.15,77.36,75.82,22045333.0
2015-01-07,MSFT,45.98,46.23,46.46,45.49,29114061.0
2015-01-07,GOOGL,510.99,505.15,511.49,503.65,2345875.0
2015-01-07,AMZN,297.54,298.42,301.28,295.33,2640349.0
2015-01-07,AAPL,107.2,107.75,108.2,106.7,40105934.0
2015-01-07,^IXIC,4626.84,4650.47,4652.72,4613.9,0.0
2015-01-08,AAPL,109.23,111.89,112.15,108.7,59364547.0
2015-01-08,^IXIC,4689.54,4736.19,4741.38,4688.02,0.0
2015-01-08,AMZN,300.59,300.46,303.14,296.11,3088398.0
2015-01-08,MSFT,46.75,47.59,47.75,46.72,29645202.0
2015-01-08,FB,76.74,78.18,78.23,76.08,23960953.0
2015-01-08,GOOGL,501.51,506.91,507.5,495.02,3662224.0
2015-01-09,GOOGL,508.45,500.72,508.6,498.65,2100024.0
2015-01-09,MSFT,47.61,47.19,47.82,46.9,23944181.0
2015-01-09,AAPL,112.67,112.01,113.25,110.21,53699527.0
2015-01-09,FB,78.2,77.74,78.62,77.2,21157007.0
2015-01-09,AMZN,301.5,296.93,302.87,296.68,2592360.0
2015-01-09,^IXIC,4744.47,4704.07,4744.71,4681.24,0.0
2015-01-12,MSFT,47.4,46.6,47.54,46.36,23651887.0
2015-01-12,AAPL,112.6,109.25,112.63,108.8,49650790.0
2015-01-12,^IXIC,4714.07,4664.71,4715.81,4650.65,0.0
2015-01-12,GOOGL,499.24,497.06,500.28,490.91,2856938.0
2015-01-12,AMZN,297.96,291.41,298.51,289.28,3421392.0
2015-01-12,FB,77.84,76.72,78.0,76.21,19190194.0
2015-01-13,MSFT,46.97,46.36,47.91,46.06,35270601.0
2015-01-13,FB,77.23,76.45,78.08,75.85,25179561.0
2015-01-13,^IXIC,4708.74,4661.5,4751.34,4624.28,0.0
2015-01-13,AAPL,111.43,110.22,112.8,108.91,67091928.0
2015-01-13,AMZN,297.48,294.74,301.5,293.23,4136442.0
2015-01-13,GOOGL,502.45,501.8,508.6,497.26,3050295.0
2015-01-14,MSFT,45.96,45.96,46.24,45.62,29719580.0
2015-01-14,^IXIC,4610.76,4639.32,4655.37,4595.98,0.0
